ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","9555027","[9345400.0-9769350.0]","125.2","101.1","-",
"C33-34","Lung","1761007","[1700620.0-1823540.0]","23.1","18.6","-",
"C18-21","Colorectum","880792","Notavailable","11.5","8.9","-",
"C16","Stomach","782685","[738321.0-829715.0]","10.3","8.2","-",
"C22","Liver","781631","[737605.0-828285.0]","10.2","8.5","-",
"C50","Breast","626679","[606077.0-647981.0]","16.6","13.0","-",
"C15","Oesophagus","508585","[492527.0-525167.0]","6.7","5.5","-",
"C25","Pancreas","432242","[418988.0-445915.0]","5.7","4.4","-",
"C61","Prostate","358989","[343350.0-375340.0]","9.3","7.6","-",
"C53","Cervixuteri","311365","[303896.0-319017.0]","8.2","6.9","-",
"C91-95","Leukaemia","309006","[296842.0-321668.0]","4.0","3.5","-",
"C82-86, C96","Non-Hodgkinlymphoma","248724","[243405.0-254159.0]","3.3","2.6","-",
"C70-72","Brain,centralnervoussystem","241037","[230475.0-252083.0]","3.2","2.8","-",
"C67","Bladder","199922","[190536.0-209770.0]","2.6","1.9","-",
"C56","Ovary","184799","[175459.0-194636.0]","4.9","3.9","-",
"C00-06","Lip,oralcavity","177384","[167667.0-187664.0]","2.3","2.0","-",
"C64-65","Kidney","175098","[166193.0-184480.0]","2.3","1.8","-",
"C23-24","Gallbladder","165087","[156331.0-174334.0]","2.2","1.7","-",
"C88+C90","Multiplemyeloma","106105","[99703.9-112917.0]","1.4","1.1","-",
"C32","Larynx","94771","[88265.6-101756.0]","1.2","1.0","-",
"C54","Corpusuteri","89929","[83818.4-96485.0]","2.4","1.8","-",
"C11","Nasopharynx","72987","[66502.8-80103.5]","0.96","0.84","-",
"C43","Melanomaofskin","60712","[55935.7-65896.1]","0.80","0.63","-",
"C09-10","Oropharynx","51005","[46091.7-56442.0]","0.67","0.57","-",
"C73","Thyroid","41071","[37507.0-44973.7]","0.54","0.42","-",
"C12-13","Hypopharynx","34984","[31964.4-38288.9]","0.46","0.39","-",
"C81","Hodgkinlymphoma","26167","[22964.3-29816.4]","0.34","0.30","-",
"C45","Mesothelioma","25576","[22262.0-29383.3]","0.34","0.26","-",
"C07-08","Salivaryglands","22176","[18974.7-25917.3]","0.29","0.24","-",
"C46","Kaposisarcoma","19902","[14706.5-26933.0]","0.26","0.24","-",
"C51","Vulva","15222","[12910.8-17946.9]","0.40","0.27","-",
"C60","Penis","15138","[12208.6-18770.2]","0.39","0.35","-",
"C62","Testis","9507","[7618.4-11863.8]","0.25","0.23","-",
"C52","Vagina","8062","[6145.1-10576.8]","0.21","0.16","-",
